id,imaging_depth,targeted_structure,cre_line,reporter_line,acquisition_age_days,experiment_container_id,session_type,donor_name,specimen_name,fail_eye_tracking
650389887,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),80,650389885,three_session_C2,355468,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-355468,False
652094901,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),87,650389885,three_session_A,355468,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-355468,False
501794235,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),107,511507650,three_session_B,222424,Cux2-CreERT2;Camk2a-tTA;Ai93-222424,True
500964514,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),97,511509529,three_session_B,222420,Cux2-CreERT2;Camk2a-tTA;Ai93-222420,True
704826374,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),112,701412138,three_session_B,382421,Cux2-CreERT2;Camk2a-tTA;Ai93-382421,False
681673022,175,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),90,680156909,three_session_B,377111,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-377111,False
667364442,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),115,666589599,three_session_A,365250,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365250,False
685494041,205,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),97,682734790,three_session_B,377111,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-377111,False
502205092,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),94,511510670,three_session_A,225037,Cux2-CreERT2;Camk2a-tTA;Ai93-225037,True
680156911,175,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),85,680156909,three_session_A,377111,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-377111,False
504642019,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),109,511510670,three_session_C,225037,Cux2-CreERT2;Camk2a-tTA;Ai93-225037,True
501559087,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),103,511510736,three_session_B,222426,Cux2-CreERT2;Camk2a-tTA;Ai93-222426,True
510345479,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),87,511510718,three_session_B,231584,Cux2-CreERT2;Camk2a-tTA;Ai93-231584,False
510705057,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),105,511510855,three_session_B,229106,Cux2-CreERT2;Camk2a-tTA;Ai93-229106,False
661437140,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),95,661437138,three_session_A,365251,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365251,True
688678766,205,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),138,688678764,three_session_A,371307,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-371307,True
510517131,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),103,511510855,three_session_A,229106,Cux2-CreERT2;Camk2a-tTA;Ai93-229106,False
653125130,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),99,653125128,three_session_A,354498,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-354498,False
650512363,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),81,650389885,three_session_B,355468,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-355468,False
652842572,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),90,652842570,three_session_A,355470,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-355470,False
501836392,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),108,511510650,three_session_A,222425,Cux2-CreERT2;Camk2a-tTA;Ai93-222425,False
500855614,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),94,511507650,three_session_C,222424,Cux2-CreERT2;Camk2a-tTA;Ai93-222424,True
690045763,205,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),140,688678764,three_session_B,371307,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-371307,True
653053207,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),94,652842570,three_session_C2,355470,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-355470,False
663485329,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),102,661732156,three_session_A,365255,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365255,False
502115959,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),111,511507650,three_session_A,222424,Cux2-CreERT2;Camk2a-tTA;Ai93-222424,True
501717543,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),104,511510650,three_session_C,222425,Cux2-CreERT2;Camk2a-tTA;Ai93-222425,True
653552163,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),104,653125128,three_session_C2,354498,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-354498,False
501337989,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),101,511509529,three_session_C,222420,Cux2-CreERT2;Camk2a-tTA;Ai93-222420,True
704298735,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),111,701412138,three_session_A,382421,Cux2-CreERT2;Camk2a-tTA;Ai93-382421,False
662989044,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),101,661732156,three_session_B,365255,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365255,False
502368172,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),95,511510670,three_session_B,225037,Cux2-CreERT2;Camk2a-tTA;Ai93-225037,False
661753184,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),96,661732156,three_session_C2,365255,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365255,False
652988777,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),93,652842570,three_session_B,355470,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-355470,False
510174759,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),86,511510718,three_session_C,231584,Cux2-CreERT2;Camk2a-tTA;Ai93-231584,False
666589601,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),111,666589599,three_session_C2,365250,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365250,False
691763694,205,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),142,688678764,three_session_C2,371307,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-371307,True
705412356,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),115,701412138,three_session_C2,382421,Cux2-CreERT2;Camk2a-tTA;Ai93-382421,False
662351346,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),96,661437138,three_session_B,365251,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365251,True
501704220,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),104,511510736,three_session_A,222426,Cux2-CreERT2;Camk2a-tTA;Ai93-222426,True
501271265,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),100,511509529,three_session_A,222420,Cux2-CreERT2;Camk2a-tTA;Ai93-222420,True
682734792,205,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),92,682734790,three_session_C2,377111,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-377111,False
682054669,175,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),91,680156909,three_session_C2,377111,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-377111,False
662358233,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),97,661437138,three_session_C2,365251,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365251,True
501474098,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),102,511510736,three_session_C,222426,Cux2-CreERT2;Camk2a-tTA;Ai93-222426,True
501886692,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),109,511510650,three_session_B,222425,Cux2-CreERT2;Camk2a-tTA;Ai93-222425,True
653923501,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),105,653125128,three_session_B,354498,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-354498,False
683257169,205,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),93,682734790,three_session_A,377111,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-377111,False
510514474,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),88,511510718,three_session_A,231584,Cux2-CreERT2;Camk2a-tTA;Ai93-231584,False
509644421,175,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),99,511510855,three_session_C,229106,Cux2-CreERT2;Camk2a-tTA;Ai93-229106,False
667011230,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),112,666589599,three_session_B,365250,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365250,False
