id,imaging_depth,targeted_structure,cre_line,reporter_line,acquisition_age_days,experiment_container_id,session_type,donor_name,specimen_name,fail_eye_tracking
650389887,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),80,650389885,three_session_C2,355468,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-355468,False
652094901,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),87,650389885,three_session_A,355468,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-355468,False
681673022,175,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),90,680156909,three_session_B,377111,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-377111,False
667364442,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),115,666589599,three_session_A,365250,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365250,False
680156911,175,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),85,680156909,three_session_A,377111,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-377111,False
661437140,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),95,661437138,three_session_A,365251,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365251,True
653125130,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),99,653125128,three_session_A,354498,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-354498,False
650512363,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),81,650389885,three_session_B,355468,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-355468,False
652842572,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),90,652842570,three_session_A,355470,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-355470,False
653053207,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),94,652842570,three_session_C2,355470,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-355470,False
663485329,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),102,661732156,three_session_A,365255,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365255,False
653552163,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),104,653125128,three_session_C2,354498,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-354498,False
662989044,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),101,661732156,three_session_B,365255,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365255,False
661753184,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),96,661732156,three_session_C2,365255,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365255,False
652988777,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),93,652842570,three_session_B,355470,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-355470,False
666589601,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),111,666589599,three_session_C2,365250,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365250,False
662351346,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),96,661437138,three_session_B,365251,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365251,True
682054669,175,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),91,680156909,three_session_C2,377111,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-377111,False
662358233,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),97,661437138,three_session_C2,365251,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365251,True
653923501,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),105,653125128,three_session_B,354498,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-354498,False
667011230,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),112,666589599,three_session_B,365250,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-365250,False
