container_id,n_neurons,cre_line,imaging_depth,experiment_ids
511507650,152,Cux2-CreERT2,175,"[501794235, 500855614, 502115959]"
511509529,214,Cux2-CreERT2,175,"[500964514, 501337989, 501271265]"
511510650,178,Cux2-CreERT2,175,"[501836392, 501717543, 501886692]"
511510670,292,Cux2-CreERT2,175,"[502205092, 504642019, 502368172]"
511510718,331,Cux2-CreERT2,175,"[510345479, 510174759, 510514474]"
511510736,174,Cux2-CreERT2,175,"[501559087, 501704220, 501474098]"
511510855,242,Cux2-CreERT2,175,"[510705057, 510517131, 509644421]"
650389885,181,Slc17a7-IRES2-Cre,175,"[650389887, 652094901, 650512363]"
652842570,244,Slc17a7-IRES2-Cre,175,"[652842572, 653053207, 652988777]"
653125128,224,Slc17a7-IRES2-Cre,175,"[653125130, 653552163, 653923501]"
661437138,86,Slc17a7-IRES2-Cre,175,"[661437140, 662351346, 662358233]"
661732156,107,Slc17a7-IRES2-Cre,175,"[663485329, 662989044, 661753184]"
666589599,87,Slc17a7-IRES2-Cre,175,"[667364442, 666589601, 667011230]"
680156909,267,Slc17a7-IRES2-Cre,175,"[681673022, 680156911, 682054669]"
682734790,295,Slc17a7-IRES2-Cre,205,"[685494041, 682734792, 683257169]"
688678764,475,Slc17a7-IRES2-Cre,205,"[688678766, 690045763, 691763694]"
701412138,120,Cux2-CreERT2,175,"[704826374, 704298735, 705412356]"
