name,cell_id,container_id,r2_pipeline,r2_gd,r2_gabor,rmse_gd,rmse_gabor,aic_gd,aic_gabor,delta_aic,gabor_better_r2,gabor_better_aic,kappa_dir_gd,kappa_dir_gabor,sigma_gd,sigma_gabor,gabor_period_deg,r2_improve_gd,r2_improve_gabor,gd_deficit
Georgette,517409263,511509529,0.4952,0.4952,0.5328,0.0002,0.0002,-7454.6889,-7485.319,-30.63,True,True,0.8156,0.6395,8.6692,10.2798,51.6478,0.256,0.0,0.0
Steve,517430463,511510670,0.4524,0.4524,0.4782,0.0001,0.0001,-8252.7993,-8270.4516,-17.6524,True,True,0.752,0.5488,7.8574,9.0639,54.3565,0.2177,0.13,-0.0
Cassandra,517509862,511510855,0.5544,0.5544,0.6153,0.0006,0.0006,-6605.9561,-6667.7065,-61.7504,True,True,0.669,0.6609,8.3502,8.952,88.9958,0.0,0.0,-0.0
Garibaldi,517510257,511510855,0.3487,0.2785,0.3827,0.0002,0.0001,-7851.1979,-7917.1216,-65.9236,True,True,0.4897,0.4256,6.8786,8.7184,38.7342,0.0,0.0473,0.0702
Gertrude,517511183,511510855,0.4825,0.4825,0.4887,0.0012,0.0012,-5999.8629,-6001.2823,-1.4194,True,True,1.1116,1.1045,6.0834,6.0927,290.8191,0.2375,0.0,-0.0
Vasily,517511567,511510855,0.5066,0.5066,0.5111,0.0001,0.0001,-8691.2934,-8691.4228,-0.1294,True,True,1.2444,0.8292,10.7615,13.1974,54.6766,0.4495,0.1896,0.0
Hildegard,517514088,511510855,0.5529,0.5529,0.5699,0.0001,0.0001,-8489.0255,-8502.4092,-13.3837,True,True,1.0385,1.0683,6.998,6.945,186.0769,0.3126,0.54,-0.0
Bobby,587179530,511509529,0.5801,0.5801,0.6106,0.0015,0.0014,-5823.978,-5853.7601,-29.7821,True,True,0.9375,0.622,7.5437,9.5467,43.4823,0.0,0.0,0.0
Valentina,587435972,511507650,0.4983,0.4983,0.5422,0.0001,0.0001,-8442.7749,-8479.8276,-37.0527,True,True,0.8224,0.4983,7.4058,10.1322,39.9214,0.0001,0.0,0.0
Ting,589156275,511510670,0.7234,0.7234,0.7415,0.0012,0.0012,-5993.1404,-6019.4698,-26.3294,True,True,0.6071,0.4124,8.9394,10.6761,64.3177,0.0,0.0,0.0
Mathilde,589170196,511510718,0.4807,0.4807,0.4893,0.0,0.0,-11308.9418,-11312.4337,-3.492,True,True,0.5941,0.5078,12.5221,13.1772,132.856,0.0481,0.0477,-0.0
Crispin,589170614,511510718,0.3851,0.3851,0.3973,0.0,0.0,-11280.0958,-11285.0813,-4.9855,True,True,0.5145,0.4975,7.3272,7.1923,365.6419,0.0,0.0,-0.0
Leontine,662279460,650389885,0.551,0.551,0.6043,0.0001,0.0001,-8113.9822,-8166.6646,-52.6824,True,True,0.676,0.4411,7.6516,9.0262,52.501,0.0074,0.5846,-0.0
Reginald,662282845,652842570,0.6323,0.6323,0.6377,0.0002,0.0002,-7528.8386,-7531.4618,-2.6232,True,True,0.7671,0.5688,8.2931,9.9259,55.6774,0.0,0.0,-0.0
Rowena,662283858,652842570,0.391,0.1538,0.4005,0.0,0.0,-9791.7681,-9942.144,-150.3759,True,True,0.1095,0.665,14.6591,6.5318,30.9093,0.0,0.1981,0.2372
Bertram,662284816,650389885,0.5259,0.5259,0.5739,0.0003,0.0003,-7116.2081,-7160.0292,-43.8211,True,True,0.5038,0.296,7.3531,9.3623,54.5504,0.0003,0.0007,0.0
Millicent,662284952,652842570,0.4773,0.4773,0.4972,0.0,0.0,-9991.2254,-10004.6406,-13.4153,True,True,1.257,1.2211,8.5646,8.3269,612.9157,0.0,0.0,0.0
Archibald,662297327,653125128,0.5045,0.5045,0.5511,0.0001,0.0001,-7879.6493,-7919.8539,-40.2046,True,True,0.9733,0.9223,7.8945,7.557,580.4021,0.0,0.0,-0.0
Marina,662299371,653125128,0.3915,0.3915,0.4294,0.0002,0.0002,-7753.0363,-7777.8425,-24.8062,True,True,0.55,0.4359,8.5523,8.9608,76.4112,0.0004,0.0,0.0
Desmond,662299773,653125128,0.5739,0.5739,0.6159,0.0006,0.0006,-6584.8693,-6627.325,-42.4557,True,True,0.7736,0.654,8.4167,9.849,64.8663,0.0,0.0,0.0
Cordelia,662301014,653125128,0.445,0.445,0.4579,0.0003,0.0003,-7257.8155,-7264.3797,-6.5642,True,True,0.7715,0.7432,6.3835,6.0194,385.8787,0.2812,0.0,0.0
Cornelius,662301517,653125128,0.4644,0.4644,0.5201,0.0001,0.0001,-8502.4151,-8547.581,-45.1659,True,True,0.6522,0.5376,7.3078,6.4095,123.5996,0.4639,0.4704,0.0
Ottoline,673033449,661437138,0.4751,0.4751,0.477,0.0003,0.0003,-7177.5994,-7175.1853,2.4141,True,False,1.85,1.8026,6.1065,6.0178,248.7146,0.405,0.179,-0.0
Fletcher,673449540,661732156,0.3853,0.3853,0.4177,0.0,0.0,-9446.8421,-9467.1689,-20.3268,True,True,0.5555,0.2099,6.3089,10.3522,47.8793,0.0,0.0,0.0
Xiomara,673450230,661732156,0.5353,0.5353,0.5574,0.0001,0.0001,-8236.9458,-8254.8137,-17.8678,True,True,2.1488,1.7051,8.2005,9.8179,35.1214,0.2475,0.0,0.0
Wendell,674570702,666589599,0.4378,0.4378,0.4665,0.0,0.0,-10843.763,-10863.2126,-19.4496,True,True,0.5934,0.4119,10.1555,12.1119,74.4459,0.0,0.0,-0.0
Winifred,696526688,680156909,0.404,0.404,0.4467,0.0,0.0,-9038.8802,-9068.1226,-29.2424,True,True,0.4119,0.2814,7.3657,8.9928,63.5407,0.0,0.0026,-0.0
Lysander,701719883,688678764,0.4592,0.4592,0.4666,0.0001,0.0001,-8746.9218,-8749.1155,-2.1937,True,True,0.5033,0.3257,8.6338,11.2813,69.2572,0.2507,0.0,-0.0
Isadora,701720833,688678764,0.4128,0.4128,0.4322,0.0001,0.0001,-8744.8104,-8755.8496,-11.0392,True,True,0.7048,0.5871,7.9358,8.5083,70.8823,0.3938,0.0,0.0
Barnabas,701728596,688678764,0.4112,0.4112,0.4217,0.0005,0.0005,-6724.9187,-6729.0104,-4.0918,True,True,0.8101,0.5093,5.9293,7.6122,36.6065,0.2732,0.0,-0.0
Perpetua,701728919,688678764,0.547,0.547,0.552,0.0001,0.0001,-8232.7094,-8233.7002,-0.9908,True,True,0.742,0.6352,7.4443,7.9855,67.2521,0.0366,0.0338,-0.0
