cell_id,m_final,note
517407131,0,auto-reject delta_r2=0.020
517407808,0,auto-reject delta_r2=0.014
587436003,0,auto-reject delta_r2=0.011
517408588,0,auto-reject delta_r2=0.040
517407360,0,auto-reject delta_r2=0.041
517406835,0,auto-reject delta_r2=0.004
517406415,0,auto-reject delta_r2=0.024
517407720,0,auto-reject delta_r2=0.012
517407858,0,auto-reject delta_r2=0.006
517408114,0,auto-reject delta_r2=0.039
517410339,0,auto-reject delta_r2=0.042
587178625,0,auto-reject delta_r2=0.008
517409477,0,auto-reject delta_r2=0.031
517410149,0,auto-reject delta_r2=0.001
517409998,0,auto-reject delta_r2=0.010
586183051,0,auto-reject delta_r2=0.010
517430502,0,auto-reject delta_r2=0.029
517430372,0,auto-reject delta_r2=0.012
517428098,0,auto-reject delta_r2=0.016
517430114,0,auto-reject delta_r2=0.013
517429124,0,auto-reject delta_r2=0.006
517429337,0,auto-reject delta_r2=0.037
517431302,0,auto-reject delta_r2=0.025
517429090,0,auto-reject delta_r2=0.028
517426420,0,auto-reject delta_r2=0.045
589167189,0,auto-reject delta_r2=0.029
587377064,0,auto-reject delta_r2=0.025
517473341,0,auto-reject delta_r2=0.035
517472135,0,auto-reject delta_r2=0.030
517512830,0,auto-reject delta_r2=0.002
517513889,0,auto-reject delta_r2=0.019
517509835,0,auto-reject delta_r2=0.028
517509916,0,auto-reject delta_r2=0.032
588898993,0,auto-reject delta_r2=0.009
662281194,0,auto-reject delta_r2=0.007
662278991,0,auto-reject delta_r2=0.023
662278429,0,auto-reject delta_r2=0.005
662279435,0,auto-reject delta_r2=0.027
662282181,0,auto-reject delta_r2=0.007
662288266,0,auto-reject delta_r2=0.009
662286886,0,auto-reject delta_r2=0.007
662287807,0,auto-reject delta_r2=0.015
662297630,0,auto-reject delta_r2=0.002
662300519,0,auto-reject delta_r2=0.041
662297913,0,auto-reject delta_r2=0.035
662296986,0,auto-reject delta_r2=0.032
662300439,0,auto-reject delta_r2=0.044
662297847,0,auto-reject delta_r2=0.015
662297775,0,auto-reject delta_r2=0.017
662297257,0,auto-reject delta_r2=0.006
673033092,0,auto-reject delta_r2=0.006
673032268,0,auto-reject delta_r2=0.028
673450926,0,auto-reject delta_r2=0.018
673451211,0,auto-reject delta_r2=0.001
673450990,0,auto-reject delta_r2=0.018
673448754,0,auto-reject delta_r2=0.025
673449243,0,auto-reject delta_r2=0.036
673449179,0,auto-reject delta_r2=0.008
673449635,0,auto-reject delta_r2=0.002
674569070,0,auto-reject delta_r2=0.023
674569270,0,auto-reject delta_r2=0.014
674569235,0,auto-reject delta_r2=0.027
674569049,0,auto-reject delta_r2=0.013
674569983,0,auto-reject delta_r2=0.013
674568886,0,auto-reject delta_r2=0.017
674568914,0,auto-reject delta_r2=0.032
696520070,0,auto-reject delta_r2=0.037
696526853,0,auto-reject delta_r2=0.004
696520652,0,auto-reject delta_r2=0.043
696523183,0,auto-reject delta_r2=0.005
696524282,0,auto-reject delta_r2=0.019
696520316,0,auto-reject delta_r2=0.013
696526803,0,auto-reject delta_r2=0.024
696522738,0,auto-reject delta_r2=0.021
696520090,0,auto-reject delta_r2=0.048
696518931,0,auto-reject delta_r2=0.033
696523766,0,auto-reject delta_r2=0.006
696519164,0,auto-reject delta_r2=0.015
696518394,0,auto-reject delta_r2=0.039
696521509,0,auto-reject delta_r2=0.009
696519799,0,auto-reject delta_r2=0.019
696521626,0,auto-reject delta_r2=0.012
696520734,0,auto-reject delta_r2=0.001
696519136,0,auto-reject delta_r2=0.012
701730639,0,auto-reject delta_r2=0.008
701728242,0,auto-reject delta_r2=0.010
701729645,0,auto-reject delta_r2=0.037
701724192,0,auto-reject delta_r2=0.009
701726950,0,auto-reject delta_r2=0.046
701721109,0,auto-reject delta_r2=0.009
701730710,0,auto-reject delta_r2=0.008
701731997,0,auto-reject delta_r2=0.011
701720679,0,auto-reject delta_r2=0.023
701732978,0,auto-reject delta_r2=0.005
701719661,0,auto-reject delta_r2=0.041
701720168,0,auto-reject delta_r2=0.019
701728125,0,auto-reject delta_r2=0.028
701729323,0,auto-reject delta_r2=0.007
729435220,0,auto-reject delta_r2=0.035
729435065,0,auto-reject delta_r2=0.024
729433432,0,auto-reject delta_r2=0.028
729433694,0,auto-reject delta_r2=0.012
517409069,0,
701720672,0,
