cell_id,m_final,note
517409263,1,
517511183,1,
589170196,1,
662284952,1,
673033449,1,
662287515,0,
662301517,0,
701719883,1,
517430463,1,
517511691,0,
662301014,1,
517510189,0,
696522063,0,
701720833,1,
701728596,1,
696526688,1,
673449427,0,
662283288,0,
517406904,0,
662301960,0,
701730838,0,
662299371,0,
662283858,0,
517431444,0,
673449540,1,
589170614,1,
696521438,0,
674570166,0,
517425189,0,
517511135,0,
517515120,0,
517513687,0,
673449562,0,
517429657,0,
696523139,0,
517510257,1,
673449913,0,
696520378,0,
517409103,0,
673450113,0,
696520790,0,
662285288,0,
662278629,0,
673450210,0,
517407692,0,
696526753,0,
696521859,0,
729434202,0,
517410401,0,
701732377,0,
696522476,0,
662302288,0,
696526436,0,
729434806,0,
517515085,0,
662281963,0,
662298148,0,
517424086,0,
701727934,0,
589162355,0,
696518529,0,
673447510,0,
662301383,0,
